,synonyms,analysis
6,"Синонимы:Анализ крови на антитела к антигену ВЭБ; Вирус Эпштейна-Барр, инфекционный мононуклеоз.","Антитела класса IgG к раннему антигену вируса Эпштейна-Барр (анти-ВЭБ EA-D IgG; Epstein-Barr Virus Antibody to Early D Antigen (EA-D), IgG; anti-EBV EA-D IgG)"
7,Синонимы:Урогенитальный соскоб на вирус Эпштейна-Барр.,"Вирус Эпштейна-Барр, определение ДНК (Epstein Barr virus, DNA) в соскобе эпителиальных клеток урогенитального тракта"
8,Синонимы:Анализ слюны на вирус Эпштейна-Барр; Инфекционный мононуклеоз.,"Вирус Эпштейна-Барр, определение ДНК (Epstein Barr virus, DNA) в слюне"
9,Синонимы:Анализ крови на ВЭБ; Количественное определение ДНК ВЭБ в сыворотке методом ПЦР.,"Вирус Эпштейна-Барр, количественное определение ДНК в сыворотке крови (Epstein-Barr virus, EBV, quantitative)"
10,Синонимы:Анализ крови на антитела к цитомегаловирусу; АТ-ЦМВ-IgG; Цитомегаловирусная инфекция; ЦМВ-инфекция; Специфические иммуноглобулины класса G к цитомегаловирусу.,"Anti-CMV-IgG (Антитела класса IgG к цитомегаловирусу, ЦМВ, CMV)"
11,Синонимы:Анализ крови на антитела к цитомегаловирусу; АТ-ЦМВ-IgМ; цитомегаловирусная инфекция; ЦМВ-инфекция; специфические иммуноглобулины класса М к цитомегаловирусу.,"Anti-CMV-IgM (Антитела класса IgM к цитомегаловирусу, ЦМВ, CMV)"
12,"Синонимы:Мазок на цитомегаловирус; Цитомегаловирус, определение ДНК в соскобе эпителиальных клеток урогенитального тракта.","Цитомегаловирус, определение ДНК (Cytomegalovirus, DNA) в соскобе эпителиальных клеток урогенитального тракта"
13,Синонимы:Анализ секрета простаты и эякулята на цитомегаловирус; ПЦР-анализ на ЦМВ; Определение ДНК цитомегаловируса в секрете простаты и эякуляте.,"Цитомегаловирус, определение ДНК (Cytomegalovirus, DNA) в секрете простаты, эякуляте"
14,Синонимы:Анализ спинномозговой жидкости на цитомегаловирус; ПЦР-анализ на ЦМВ; Определение ДНК цитомегаловируса в спинномозговой жидкости.,"Цитомегаловирус, определение ДНК (Cytomegalovirus, DNA) в спинномозговой жидкости"
15,Синонимы:Анализ слюны на цитомегаловирус.,"Цитомегаловирус, определение ДНК (Cytomegalovirus, DNA) в слюне"
16,"Синонимы:Анализ крови на цитомегаловирус; ЦМВ, ДНК, ПЦР.","Цитомегаловирус, определение ДНК (Cytomegalovirus, DNA) в сыворотке крови"
17,Синонимы:Соскоб на цитомегаловирус.,"Цитомегаловирус, определение ДНК, Cytomegalovirus, DNA в соскобе эпителиальных клеток ротоглотки"
18,Синонимы:Анализ соскоба эпителиальных клеток слизистой носа на цитомегаловирус; ПЦР-анализ на ЦМВ; Определение ДНК цитомегаловируса в соскобе слизистой носа.,"Цитомегаловирус, определение ДНК, Cytomegalovirus, DNA в соскобе эпителиальных клеток слизистой носа"
19,Синонимы:Анализ мочи на цитомегаловирус; ПЦР-анализ на ЦМВ; Определение ДНК цитомегаловируса в моче.,"Цитомегаловирус, определение ДНК (Cytomegalovirus, DNA) в моче"
